brand,category,product_name,avg_price,min_price,max_price,price_std,product_count
accord,computers,power_supply,106.58,20.52,111.17,8.01,474
acer,computers,cooler,10.71,10.0,10.95,0.47,4
acer,computers,desktop,70.79,70.79,70.79,0.0,2
acer,computers,monitor,302.87,74.06,4135.21,323.51,442
acer,computers,mouse,93.67,81.75,96.32,5.71,33
acer,computers,notebook,24.49,9.22,71.24,8.79,150
acer,electronics,projector,669.99,278.4,5444.65,615.64,163
acer,electronics,tablet,4.62,4.37,5.11,0.43,3
acer,electronics,tv,6720.08,2267.03,12149.24,4676.85,30
achi,construction,soldering,1464.75,1464.75,1464.75,0.0,13
acmepower,electronics,video,31.13,19.35,32.81,4.6,16
acqua,electronics,telephone,9.84,9.84,9.84,0.0,2
acv,appliances,grill,15.4,11.1,17.1,1.68,250
acv,auto,gps,61.75,61.75,61.75,0.0,16
acv,auto,player,89.22,20.11,315.87,59.37,2190
acv,auto,videoregister,103.39,28.56,206.19,52.89,146
acv,computers,joystick,33.98,33.98,33.98,0.0,28
acv,electronics,acoustic,51.51,11.11,142.7,35.24,752
acv,electronics,clocks,29.98,29.98,29.98,0.0,87
acv,electronics,microphone,41.94,41.94,41.94,0.0,92
acv,electronics,tv,194.0,67.84,475.4,96.61,584
acv,furniture,shelving,10.75,9.97,11.84,0.81,46
adata,computers,hdd,99.09,32.76,288.86,46.79,306
adata,electronics,telephone,27.92,27.92,27.92,,1
aerocool,computers,cooler,25.85,6.6,107.14,14.09,393
aerocool,computers,desktop,209.64,31.63,351.38,100.46,107
aerocool,computers,power_supply,73.24,25.24,151.06,28.49,1142
agestar,computers,hdd,77.0,64.68,100.97,17.27,106
aimoto,electronics,clocks,53.43,53.43,53.43,0.0,10
airmax,computers,cooler,12.72,11.21,13.32,0.73,20
airmax,computers,power_supply,25.11,18.3,31.14,3.66,48
airwheel,kids,skates,354.9,354.9,354.9,0.0,12
airwheel,sport,bicycle,586.06,586.06,586.06,0.0,20
akel,appliances,grill,40.15,27.32,45.43,8.41,24
akenori,auto,videoregister,145.86,145.86,145.86,0.0,5
alas,computers,notebook,54.65,5.86,88.25,15.42,1090
alas,electronics,tablet,10.48,10.48,10.48,0.0,25
alas,electronics,telephone,55.27,24.76,91.43,10.57,62
alcatel,computers,wifi,99.27,49.67,107.6,16.52,120
alcatel,electronics,tablet,25.05,25.05,25.05,0.0,4
alcatel,electronics,telephone,119.79,4.78,199.06,36.04,2198
alfa,auto,alarm,37.62,37.62,37.62,0.0,114
alfa,auto,parktronic,30.17,15.0,31.43,4.56,13
alienware,computers,monitor,819.87,391.13,927.06,219.94,20
alligator,auto,alarm,90.57,32.46,243.35,44.33,401
alligator,auto,compressor,39.35,22.54,46.84,5.93,38
allocacoc,construction,light,47.85,46.13,48.71,1.29,9
alpenkok,appliances,kettle,18.98,17.97,22.0,2.02,4
alphachem,computers,printer,11.52,11.52,11.52,0.0,24
alpine,auto,player,160.98,95.56,280.48,57.76,383
alpine,electronics,acoustic,108.67,30.95,158.57,47.32,384
amazfit,electronics,clocks,122.84,64.92,268.11,53.72,826
amd,computers,cpu,187.16,29.9,2480.76,140.14,20011
amd,computers,hdd,56.02,37.49,79.19,17.6,9
and,medicine,tonometer,36.1,36.1,36.1,0.0,16
andis,appliances,hair_cutter,201.61,115.24,454.3,125.34,36
anker,computers,network_adapter,36.92,24.94,53.33,10.98,13
anker,electronics,telephone,7.74,7.0,13.65,2.22,9
anymode,electronics,telephone,1.57,1.57,1.57,0.0,4
anytek,auto,videoregister,53.7,31.75,55.56,6.42,115
aoc,computers,monitor,222.64,69.89,994.68,128.68,658
aoc,electronics,tv,246.71,172.29,294.41,49.79,25
aopen,computers,monitor,299.94,284.46,314.51,15.25,33
aorus,computers,monitor,715.74,674.63,756.86,58.15,2
apacer,computers,hdd,41.19,28.59,76.0,12.83,276
apple,computers,keyboard,186.71,124.08,271.03,33.58,44
apple,computers,mouse,151.22,103.25,214.0,43.82,15
apple,computers,network_adapter,29.64,29.41,30.05,0.32,14
apple,computers,notebook,2505.43,92.08,4280.92,1062.74,439
apple,electronics,headphone,273.46,97.97,324.49,72.27,35
apple,electronics,tablet,556.27,395.32,1864.32,271.3,153
apple,electronics,telephone,52.71,52.44,53.24,0.46,3
aqc,computers,printer,15.05,1.57,53.73,9.1,410
araree,electronics,headphone,14.58,11.65,14.6,0.17,317
araree,electronics,tablet,24.59,21.81,25.02,1.11,30
araree,electronics,telephone,11.53,3.54,21.02,4.41,125
arctic,computers,cooler,47.42,35.62,51.35,6.42,10
arian,electronics,headphone,18.11,18.11,18.11,,1
arian,electronics,tablet,47.71,38.98,55.08,3.12,492
ark,electronics,telephone,53.23,15.87,135.87,16.25,2673
artway,auto,radar,57.8,40.08,61.75,7.39,35
artway,auto,videoregister,132.13,30.0,184.1,46.54,319
asrock,computers,motherboard,93.41,47.97,921.79,113.87,9637
astralux,appliances,sewing_machine,86.97,85.73,88.83,1.6,10
asus,accessories,bag,40.64,24.44,116.02,22.69,57
asus,computers,camera,34.16,34.16,34.16,0.0,21
asus,computers,cdrw,100.76,22.79,147.38,42.5,523
asus,computers,desktop,44.63,44.63,44.63,0.0,3
